,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry
1655,LBRT,Liberty Oilfield Services Inc.,10.94,$1.23B,2018,Energy,Oilfield Services/Equipment
2364,QUOT,Quotient Technology Inc.,10.93,$972.65M,2014,Consumer Services,Advertising
2985,VTA,Invesco Credit Opportunities Fund,10.92,$809.11M,2007,,
539,CEM,ClearBridge MLP and Midstream Fund Inc.,10.92,$768.93M,2010,,
642,CNHI,CNH Industrial N.V.,10.91,$14.74B,2013,Capital Goods,Construction/Ag Equipment/Trucks
1816,MLP,"Maui Land & Pineapple Company, Inc.",10.9,$210.46M,,Finance,Real Estate
1290,GSAH,GS Acquisition Holdings Corp.,10.9,$940.13M,2018,Capital Goods,Industrial Machinery/Components
404,BOE,Blackrock Global,10.88,$729.89M,2005,,
684,CPLG,CorePoint Lodging Inc.,10.88,$623.64M,2018,Consumer Services,Real Estate Investment Trusts
849,DRH,Diamondrock Hospitality Company,10.85,$2.17B,2005,Consumer Services,Real Estate Investment Trusts
1732,MAV,Pioneer Municipal High Income Advantage Trust,10.81,$258.35M,,,
1534,JHAA,Nuveen High Income 2023 Target Term Fund,10.8,$84.38M,2018,,
799,DFIN,"Donnelley Financial Solutions, Inc.",10.8,$370.44M,2016,Consumer Services,Other Consumer Services
1525,JDD,Nuveen Diversified Dividend and Income Fund,10.77,$212.56M,2003,,
137,AMCR,Amcor plc,10.76,$17.43B,2019,Consumer Durables,Miscellaneous manufacturing industries
1304,GTT,"GTT Communications, Inc.",10.7,$606.16M,,Public Utilities,Telecommunications Equipment
1446,IGA,Voya Global Advantage and Premium Opportunity Fund,10.69,$195.68M,2005,,
1052,FBP,First BanCorp.,10.68,$2.32B,,Finance,Major Banks
256,AXL,"American Axle & Manufacturing Holdings, Inc.",10.67,$1.2B,,Capital Goods,Auto Parts:O.E.M.
2223,PHD,Pioneer Floating Rate Trust,10.66,$263.71M,2004,,
1715,LXP,Lexington Realty Trust,10.64,$2.7B,,,
1934,NCA,"Nuveen California Municipal Value Fund, Inc.",10.63,$298.61M,,,
2069,NUV,Nuveen AMT-Free Municipal Value Fund,10.62,$2.2B,1987,,
2960,VLRS,"Controladora Vuela Compania de Aviacion, S.A.B. de C.V.",10.59,$1.05B,2013,Transportation,Air Freight/Delivery Services
1455,IHTA,Invesco High Income 2024 Target Term Fund,10.55,$92.6M,2017,,
1454,IHIT,Invesco High Income 2023 Target Term Fund,10.53,$252.84M,2016,,
1980,NIM,Nuveen Select Maturities Municipal Fund,10.4572,$130.14M,1992,,
2212,PFN,PIMCO Income Strategy Fund II,10.45,$694.06M,2004,,
1527,JE^A,"Just Energy Group, Inc.",10.4362,,,,
2024,NOVA,Sunnova Energy International Inc.,10.4,$873.4M,2019,Public Utilities,Power Generation
917,EEX,"Emerald Expositions Events, Inc.",10.4,$742.74M,2017,Miscellaneous,Business Services
2016,NNY,"Nuveen New York Municipal Value Fund, Inc.",10.39,$158.17M,1988,,
1559,JPC,Nuveen Preferred & Income Opportunities Fund,10.39,$1.07B,2003,,
2337,PUMP,ProPetro Holding Corp.,10.38,$1.04B,2017,Energy,Oilfield Services/Equipment
297,BBDC,"Barings BDC, Inc.",10.37,$511.09M,,,
456,BXG,Bluegreen Vacations Corporation,10.37,$772M,2017,Finance,Real Estate
798,DEX,Delaware Enhanced Global Dividend,10.36,$124.4M,2007,,
1679,LHC,Leo Holdings Corp.,10.34,$258.5M,2018,Consumer Services,Movies/Entertainment
1114,FPAC,Far Point Acquisition Corporation,10.33,$816.72M,2018,Finance,Business Services
1613,KMF,"Kayne Anderson Midstream Energy Fund, Inc",10.33,$489.18M,2010,,
1019,ETW,Eaton Vance Corporation,10.33,$1.11B,2005,,
443,BTU,Peabody Energy Corporation,10.32,$998.98M,2017,Energy,Coal Mining
1573,JRS,Nuveen Real Estate Fund,10.31,$297.88M,2001,,
3044,WMC,Western Asset Mortgage Capital Corporation,10.3,$548.21M,2012,Consumer Services,Real Estate Investment Trusts
2338,PVG,"Pretium Resources, Inc.",10.29,$1.91B,,Basic Industries,Precious Metals
510,CCH,Collier Creek Holdings,10.28,$574.4M,2018,Finance,Business Services
1960,NFC,New Frontier Corporation,10.27,$415.55M,2018,Finance,Business Services
1774,MFD,Macquarie First Trust Global,10.27,$87.78M,2004,,
956,ENBL,"Enable Midstream Partners, LP",10.27,$4.47B,2014,Public Utilities,Natural Gas Distribution
3102,YPF,YPF Sociedad Anonima,10.27,$4.04B,1993,Energy,Integrated oil Companies
61,AGD,Aberdeen Global Dynamic Dividend Fund,10.26,$128.76M,2006,,
1672,LGC,Legacy Acquisition Corp.,10.25,$377.25M,2017,Finance,Business Services
1770,MFAC,Megalith Financial Acquisition Corp.,10.25,$216.9M,2018,Finance,Business Services
1305,GTX,Garrett Motion Inc.,10.24,$766.22M,2018,Capital Goods,Auto Parts:O.E.M.
523,CCX,Churchill Capital Corp II,10.21,$880.61M,2019,Finance,Business Services
2915,USDP,USD Partners LP,10.2,$270.34M,2014,Transportation,Railroads
2503,SBOW,"SilverBow Resorces, Inc.",10.15,$119.61M,,Energy,Oil & Gas Production
1273,GRAF,Graf Industrial Corp.,10.145,$309.12M,2018,Finance,Business Services
2609,SPAQ,Spartan Energy Acquisition Corp,10.14,$699.66M,2018,Finance,Business Services
318,BCS,Barclays PLC,10.14,$43.89B,,Finance,Commercial Banks
2341,PVT,Pivotal Acquisition Corp.,10.13,$291.24M,2019,Finance,Business Services
1465,INFY,Infosys Limited,10.13,$42.95B,,Technology,EDP Services
776,DBD,Diebold Nixdorf Incorporated,10.11,$776.38M,,Miscellaneous,Office Equipment/Supplies/Services
1688,LL,"Lumber Liquidators Holdings, Inc",10.11,$290.26M,2007,Consumer Services,RETAIL: Building Materials
2130,OMN,OMNOVA Solutions Inc.,10.11,$453.47M,,Basic Industries,Specialty Chemicals
1036,EXD,Eaton Vance Tax-Managed Buy-Write Strategy Fund,10.11,$98.39M,2010,,
2938,VCIF,Vertical Capital Income Fund,10.1,$104.84M,2019,,
421,BRPM,B. Riley Principal Merger Corp.,10.1,$186.16M,2019,Finance,Business Services
933,EHT,Eaton Vance High Income 2021 Target Term Trust,10.1,$216.76M,2016,,
1535,JHB,Nuveen High Income November 2021 Target Term Fund,10.03,$560.39M,2016,,
431,BSIG,BrightSphere Investment Group Inc.,10.02,$862.8M,2014,Finance,Investment Managers
1568,JPS,Nuveen Preferred & Income Securities Fund,10.02,$2.04B,2002,,
2747,TEO,Telecom Argentina Stet - France Telecom S.A.,10.01,$4.31B,,Public Utilities,Telecommunications Equipment
2448,RPLA,Replay Acquisition Corp.,10,$359.38M,2019,Finance,Business Services
186,ARA,"American Renal Associates Holdings, Inc",9.99,$325.76M,2016,Health Care,Misc Health and Biotechnology Services
1523,JCO,Nuveen Credit Opportunities 2022 Target Term Fund,9.98,$276.36M,2017,,
1841,MOSC,Mosaic Acquisition Corp.,9.98,$430.39M,2017,Finance,Business Services
592,CISN,Cision Ltd.,9.96,$1.48B,2017,Technology,Computer Software: Prepackaged Software
2428,RMG,RMG Acquisition Corp.,9.9403,$285.78M,2019,Finance,Business Services
612,CLPR,Clipper Realty Inc.,9.94,$177.08M,2017,Consumer Services,Real Estate Investment Trusts
761,CXH,Colonial Investment Grade Municipal Trust,9.94,$90.56M,1989,,
2809,TPRE,Third Point Reinsurance Ltd.,9.94,$936.55M,2013,Finance,Property-Casualty Insurers
2821,TRNE,Trine Acquisition Corp.,9.94,$372.94M,2019,Finance,Business Services
2546,SHLL,Tortoise Acquisition Corp.,9.93,$289.22M,2019,Finance,Business Services
992,ERA,"Era Group, Inc.",9.93,$211.4M,,Transportation,Transportation Services
1211,GIX,"GigCapital2, Inc.",9.92,$220.67M,2019,Finance,Business Services
2521,SCPE,SC Health Corporation,9.91,$226.07M,2019,Finance,Business Services
1215,GJH,STRATS Trust,9.9,,,Finance,Finance: Consumer Services
2099,OAC,Oaktree Acquisition Corp.,9.9,$249.05M,2019,Finance,Business Services
2646,SRV,Cushing MLP & Infrastructure Total Return Fund,9.8999,$66.67M,,,
2183,PCK,Pimco California Municipal Income Fund II,9.89,$316.94M,2002,,
932,EHI,Western Asset Global High Income Fund Inc,9.88,$435.77M,2003,,
2231,PIC,Pivotal Investment Corporation II,9.87,$283.76M,2019,Finance,Business Services
2748,TEVA,Teva Pharmaceutical Industries Limited,9.86,$10.77B,,Health Care,Major Pharmaceuticals
1540,JHY,Nuveen High Income 2020 Target Term Fund,9.84,$155.37M,2015,,
2780,TLI,Western Asset Corporate Loan Fund Inc,9.84,$97.8M,1998,,
1973,NHA,Nuveen Municipal 2021 Target Term Fund,9.831,$84.77M,2016,,
2496,SBE,Switchback Energy Acquisition Corporation,9.82,$385.58M,2019,Finance,Business Services
1532,JFR,Nuveen Floating Rate Income Fund,9.81,$558.37M,2004,,
2579,SM,SM Energy Company,9.78,$1.1B,,Energy,Oil & Gas Production
1224,GLEO,Galileo Acquisition Corp.,9.77,,2019,Finance,Business Services
1869,MSD,"Morgan Stanley Emerging Markets Debt Fund, Inc.",9.77,$199.18M,1993,,
346,BGIO,BlackRock 2022 Global Income Opportunity Trust,9.75,$215.76M,2017,,
2107,OCFT,"OneConnect Financial Technology Co., Ltd.",9.75,$3.52B,2019,Technology,"Computer Software: Programming, Data Processing"
1228,GLOG,GasLog LP.,9.74,$786.31M,2012,Consumer Services,Marine Transportation
1489,IRL,"New Ireland Fund, Inc. (The)",9.73,$48.37M,1990,,
746,CVE,Cenovus Energy Inc,9.73,$11.96B,,Energy,Oil & Gas Production
1735,MBT,Mobile TeleSystems OJSC,9.73,$8.71B,,Public Utilities,Telecommunications Equipment
991,EQT,EQT Corporation,9.73,$2.49B,,Energy,Oil & Gas Production
1143,FTCH,Farfetch Limited,9.73,$2.96B,2018,Miscellaneous,Business Services
496,CBH,AllianzGI Convertible & Income 2024 Target Term Fund,9.72,$177.46M,2017,,
1512,JAX,"J. Alexander&#39;s Holdings, Inc.",9.72,$145.4M,2015,Consumer Services,Restaurants
1249,GNK,Genco Shipping & Trading Limited ,9.71,$405.44M,,Transportation,Marine Transportation
520,CCR,CONSOL Coal Resources LP,9.69,$267.76M,2015,Energy,Coal Mining
2181,PCG,Pacific Gas & Electric Co.,9.67,$5.12B,,Public Utilities,Power Generation
1572,JRO,Nuveen Floating Rate Income Opportuntiy Fund,9.65,$391.22M,2004,,
1971,NGVC,"Natural Grocers by Vitamin Cottage, Inc.",9.64,$216.67M,2012,Consumer Services,Food Chains
2689,SUZ,Suzano S.A.,9.64,$13.01B,2018,Basic Industries,Paper
322,BDJ,Blackrock Enhanced Equity Dividend Trust,9.62,$1.8B,2005,,
2843,TSQ,"Townsquare Media, Inc.",9.61,$182.22M,2014,Consumer Services,Broadcasting
2240,PIY,"Merrill Lynch Depositor, Inc.",9.6079,,,Finance,Finance: Consumer Services
1074,FG,FGL Holdings,9.59,$2.13B,2017,Finance,Life Insurance
21,ACCO,Acco Brands Corporation,9.57,$928.16M,,Consumer Durables,Publishing
1557,JOF,Japan Smaller Capitalization Fund Inc,9.57,$271.16M,1990,,
538,CELP,"Cypress Energy Partners, L.P.",9.55,$115.24M,2014,Miscellaneous,Business Services
2347,PYN,PIMCO New York Municipal Income Fund III,9.53,$54.51M,2002,,
916,EEA,"European Equity Fund, Inc. (The)",9.5,$73.39M,,,
1992,NLY,Annaly Capital Management Inc,9.44,$13.5B,,Consumer Services,Real Estate Investment Trusts
627,CMRE,Costamare Inc.,9.42,$1.11B,2010,Transportation,Marine Transportation
1044,F,Ford Motor Company,9.39,$37.23B,,Capital Goods,Auto Manufacturing
202,AROC,"Archrock, Inc.",9.38,$1.42B,,Public Utilities,Natural Gas Distribution
1092,FLNG,FLEX LNG Ltd.,9.3781,$507.45M,2019,Consumer Services,Marine Transportation
921,EFL,Eaton Vance Floating-Rate 2022 Target Term Trust,9.37,$221.24M,2017,,
327,BEDU,Bright Scholar Education Holdings Limited,9.33,$1.16B,2017,Consumer Services,Other Consumer Services
2542,SGU,"Star Group, L.P.",9.32,$434.03M,,Consumer Services,Other Specialty Stores
1009,ETJ,Eaton Vance Risk-Managed Diversified Equity Income Fund,9.29,$591.49M,2007,,
2613,SPCE,"Virgin Galactic Holdings, Inc.",9.29,$1.82B,2017,Consumer Services,Transportation Services
1956,NEW,Puxin Limited,9.28,$807.15M,2018,Consumer Services,Other Consumer Services
1502,IVC,Invacare Corporation,9.28,$312.35M,,Health Care,Industrial Specialties
1173,GDL,The GDL Fund,9.28,$150.01M,2007,,
1734,MBI,"MBIA, Inc.",9.27,$742.08M,1987,Finance,Property-Casualty Insurers
1088,FIV,First Trust Senior Floating Rate 2022 Target Term Fund,9.27,$332.16M,2016,,
2999,WBAI,500.com Limited,9.26,$398.16M,2013,Consumer Services,Services-Misc. Amusement & Recreation
2229,PHT,Pioneer High Income Trust,9.256,$270.57M,,,
779,DCF,BNY Mellon Alcentra Global Credit Income 2024 Target Term Fund,9.25,$138.39M,2017,,
907,ECOM          ,ChannelAdvisor Corporation,9.24,$259.26M,2013,Technology,Computer Software: Prepackaged Software
2499,SBGL,Sibanye Gold Limited,9.22,$6.15B,,Basic Industries,Precious Metals
2944,VER,VEREIT Inc.,9.21,$9.83B,,Consumer Services,Real Estate Investment Trusts
1901,MVC,"MVC Capital, Inc.",9.17,$162.54M,,,
2501,SBI,Western Asset Intermediate Muni Fund Inc,9.17,$129.13M,1992,,
1657,LCI,Lannett Co Inc,9.16,$369.4M,,Health Care,Major Pharmaceuticals
1365,HLX,"Helix Energy Solutions Group, Inc.",9.16,$1.36B,,Energy,Oilfield Services/Equipment
360,BHR,Braemar Hotels & Resorts Inc.,9.15,$300.91M,2013,Consumer Services,Real Estate Investment Trusts
1345,HGLB,Highland Global Allocation Fund,9.15,$207.07M,2019,,
873,DUC,"Duff & Phelps Utility & Corporate Bond Trust, Inc.",9.14,$251.3M,1993,,
1462,INB,"Cohen & Steers Global Income Builder, Inc.",9.11,$210.82M,2007,,
2457,RRTS,"Roadrunner Transportation Systems, Inc.",9.1,$342.54M,2010,Transportation,Oil Refining/Marketing
544,CEQP^,Crestwood Equity Partners LP,9.1,,,,
1530,JEMD,Nuveen Emerging Markets Debt 2022 Target Term Fund,9.08,$129.26M,2017,,
1903,MVF,"MuniVest Fund, Inc.",9.07,$588.07M,,,
818,DL,China Distance Education Holdings Limited,9.01,$302.31M,,Consumer Services,Other Consumer Services
2381,RCS,"PIMCO Strategic Income Fund, Inc.",9,$392.27M,1994,,
1760,MEC,"Mayville Engineering Company, Inc.",8.98,$177.27M,2019,Capital Goods,Industrial Specialties
1248,GNE^A,Genie Energy Ltd.,8.97,,,,
1422,HYB,"New America High Income Fund, Inc. (The)",8.96,$209.39M,1988,,
2744,TEI,"Templeton Emerging Markets Income Fund, Inc.",8.96,$430.07M,1993,,
2138,OR,Osisko Gold Royalties Ltd,8.94,$1.41B,2016,Basic Industries,Precious Metals
573,CHU,China Unicom (Hong Kong) Ltd,8.94,$27.35B,,Public Utilities,Telecommunications Equipment
515,CCJ,Cameco Corporation,8.92,$3.53B,1996,Basic Industries,Precious Metals
3078,WTTR,"Select Energy Services, Inc.",8.92,$930.97M,2017,Energy,Oilfield Services/Equipment
1959,NEXA,Nexa Resources S.A.,8.91,$1.18B,2017,Basic Industries,Precious Metals
677,CPAC,Cementos Pacasmayo S.A.A.,8.9007,$826.25M,,Capital Goods,Building Materials
896,EBR,Centrais Electricas Brasileiras S.A.- Eletrobras,8.89,$12.03B,2016,Public Utilities,Electric Utilities: Central
164,AOD,Aberdeen Total Dynamic Dividend Fund,8.83,$931.4M,2007,,
1479,IO,Ion Geophysical Corporation,8.83,$125.4M,,Energy,Oil & Gas Production
1121,FPL,First Trust New Opportunities MLP & Energy Fund,8.82,$226.67M,2014,,
769,DAC,Danaos Corporation,8.79,$214.23M,2006,Transportation,Marine Transportation
787,DDD,3D Systems Corporation,8.78,$1.04B,,Technology,Computer Software: Prepackaged Software
1500,ITUB,Itau Unibanco Banco Holding SA,8.76,$85.36B,,Finance,Major Banks
1037,EXG,Eaton Vance Tax-Managed Global Diversified Equity Income Fund,8.76,$2.64B,2007,,
2326,PSO,"Pearson, Plc",8.69,$6.8B,,Consumer Services,Books
407,BORR,Borr Drilling Limited,8.69,$963.01M,2019,Energy,Oil & Gas Production
2180,PCF,High Income Securities Fund,8.65,$48.14M,,,
2382,RCUS,"Arcus Biosciences, Inc.",8.65,$396.68M,2018,Health Care,Major Pharmaceuticals
650,CNR,"Cornerstone Building Brands, Inc.",8.62,$1.08B,,Capital Goods,Metal Fabrications
2352,PZN,Pzena Investment Management Inc,8.6,$601.82M,2007,Finance,Investment Managers
416,BRFS,BRF S.A.,8.53,$6.92B,,Consumer Non-Durables,Meat/Poultry/Fish
689,CRC,California Resources Corporation,8.52,$418.49M,2014,Energy,Oil & Gas Production
2942,VEDL,Vedanta  Limited,8.5,$7.87B,2013,Capital Goods,Metal Fabrications
1359,HKIB,AMTD International Inc.,8.5,$1.96B,2019,Finance,Finance: Consumer Services
1669,LEO,"BNY Mellon Strategic Municipals, Inc.",8.49,$528.04M,1987,,
1429,IAE,Voya Asia Pacific High Dividend Equity Income Fund,8.49,$101.02M,2007,,
725,CTR,ClearBridge MLP and Midstream Total Return Fund In,8.49,$326.02M,2012,,
296,BBD,Banco Bradesco Sa,8.41,$67.55B,,Finance,Major Banks
236,AVAL,Grupo Aval Acciones y Valores S.A.,8.39,$9.35B,2014,Finance,Commercial Banks
1745,MCR,MFS Charter Income Trust,8.39,$378.49M,1989,,
2434,RMT,"Royce Micro-Cap Trust, Inc.",8.37,$345.46M,,,
136,AMC,"AMC Entertainment Holdings, Inc.",8.35,$867.15M,2013,Consumer Services,Movies/Entertainment
1708,LTHM,Livent Corporation,8.31,$1.21B,2018,Basic Industries,Major Chemicals
24,ACH,Aluminum Corporation of China Limited,8.29,$5.64B,2001,Basic Industries,Aluminum
600,CLF,Cleveland-Cliffs Inc.,8.29,$2.24B,,Basic Industries,Precious Metals
2061,NTP,Nam Tai Property Inc.,8.285,$318.49M,,Finance,Real Estate
2030,NPTN,NeoPhotonics Corporation,8.28,$399.44M,2011,Technology,Semiconductors
951,EMO,ClearBridge Energy Midstream Opportunity Fund Inc.,8.26,$592.36M,2011,,
487,CANG,Cango Inc.,8.2,$1.24B,2018,Technology,Computer Software: Prepackaged Software
211,ASC,Ardmore Shipping Corporation,8.2,$271.4M,2013,Transportation,Marine Transportation
1296,GSL,"Global Ship Lease, Inc.",8.18,$143.61M,,Transportation,Marine Transportation
2698,SWZ,"Swiss Helvetia Fund, Inc. (The)",8.13,$107.86M,,,
216,ASPN,"Aspen Aerogels, Inc.",8.13,$197.56M,2014,Consumer Services,RETAIL: Building Materials
1247,GNE,Genie Energy Ltd.,8.11,$216.94M,2011,Public Utilities,Power Generation
486,CALX,"Calix, Inc",8.09,$448.91M,2010,Consumer Services,Telecommunications Equipment
2259,PMM,Putnam Managed Municipal Income Trust,8.06,$396.59M,1989,,
3089,XFLT,XAI Octagon Floating Rate & Alternative Income Term Trust,8.06,$75.03M,2017,,
2645,SRT,"StarTek, Inc.",8.06,$310.17M,1997,Technology,Professional Services
614,CLS,"Celestica, Inc.",8.06,$885.18M,1998,Technology,Electrical Products
35,ADT,ADT Inc.,8.04,$6.06B,2018,Consumer Services,Diversified Commercial Services
74,AGRO,Adecoagro S.A.,8.02,$942.23M,2011,Consumer Non-Durables,Farming/Seeds/Milling
1998,NM^G,Navios Maritime Holdings Inc.,8,,,,
1531,JEQ,"Aberdeen Japan Equity Fund, Inc. ",8,$107.25M,1992,,
624,CMO,Capstead Mortgage Corporation,8,$756.85M,,Consumer Services,Real Estate Investment Trusts
1452,IHD,Voya Emerging Markets High Income Dividend Equity Fund,7.99,$152.12M,2011,,
1266,GPM,Guggenheim Enhanced Equity Income Fund,7.98,$384.79M,,,
189,ARCO,Arcos Dorados Holdings Inc.,7.97,$1.63B,2011,Consumer Services,Restaurants
859,DSM,"BNY Mellon Strategic Municipal Bond Fund, Inc.",7.96,$392.98M,1989,,
2120,OIA,Invesco Municipal Income Opportunities Trust,7.94,$377.46M,,,
1197,GGT,Gabelli Multi-Media Trust Inc. (The),7.93,$196.31M,,,
1449,IGR,CBRE Clarion Global Real Estate Income Fund,7.92,$923.4M,2004,,
298,BBDO,Banco Bradesco Sa,7.91,$63.54B,,Finance,Major Banks
1497,ITCB,Ita? CorpBanca,7.9,$2.7B,,Finance,Commercial Banks
2955,VIST,"Vista Oil & Gas, S.A.B. de C.V.",7.83,$680.7M,2019,Energy,Oil & Gas Production
2816,TREC,Trecora Resources,7.82,$193.27M,,Energy,Integrated oil Companies
1803,MIE,"Cohen & Steers MLP Income and Energy Opportunity Fund, Inc.",7.82,$209.52M,2013,,
1768,MFA,"MFA Financial, Inc.",7.8,$3.52B,,Consumer Services,Real Estate Investment Trusts
1101,FMO,Fiduciary/Claymore Energy Infrastructure Fund,7.8,$276.44M,2004,,
2981,VSLR,"Vivint Solar, Inc.",7.8,$952.29M,2014,Capital Goods,Building Products
652,CNX,CNX Resources Corporation,7.79,$1.45B,1999,Energy,Oil & Gas Production
1511,JAG,Jagged Peak Energy Inc.,7.79,$1.66B,2017,Energy,Oil & Gas Production
2782,TLRA,"Telaria, Inc.",7.78,$362.33M,2013,Technology,Advertising
1547,JMF,Nuveen Energy MLP Total Return Fund,7.78,$317.32M,2011,,
320,BCX,BlackRock Resources,7.77,$722.43M,2011,,
1139,FT,Franklin Universal Trust,7.74,$194.52M,,,
2984,VSTO,Vista Outdoor Inc.,7.72,$446.42M,2015,Capital Goods,Ordnance And Accessories
1795,MHF,"Western Asset Municipal High Income Fund, Inc.",7.7091,$166.77M,1988,,
2370,RAD,Rite Aid Corporation,7.7,$422.54M,,Health Care,Medical/Nursing Services
775,DB,Deutsche Bank AG,7.69,$15.88B,,Finance,Major Banks
1685,LINX,Linx S.A.,7.66,$1.38B,2019,Technology,Computer Software: Prepackaged Software
2239,PIR,"Pier 1 Imports, Inc.",7.6,$32.5M,,Consumer Services,Home Furnishings
2743,TEF,Telefonica SA,7.6,$39.46B,1988,Public Utilities,Telecommunications Equipment
2594,SNR,New Senior Investment Group Inc.,7.58,$628.87M,2014,Consumer Services,Real Estate Investment Trusts
726,CTRA,"Contura Energy, Inc.",7.58,$138.06M,2018,Energy,Coal Mining
493,CBB,Cincinnati Bell Inc,7.58,$382.19M,,Public Utilities,Telecommunications Equipment
2226,PHK,Pimco High Income Fund,7.535,$989.69M,2003,,
1570,JQC,Nuveen Credit Strategies Income Fund,7.53,$1.02B,2003,,
1028,EVH,"Evolent Health, Inc",7.52,$636.27M,2015,Consumer Services,Other Consumer Services
2585,SMM,Salient Midstream & MLP Fund,7.5,$132.92M,2012,,
2851,TUP,Tupperware Brands Corporation,7.49,$366.25M,,Consumer Non-Durables,Plastic Products
2581,SMFG,Sumitomo Mitsui Financial Group Inc,7.47,$51.15B,,Finance,Commercial Banks
1834,MOD,Modine Manufacturing Company,7.44,$377.93M,,Capital Goods,Auto Parts:O.E.M.
1999,NM^H,Navios Maritime Holdings Inc.,7.41,,,,
700,CRT,Cross Timbers Royalty Trust,7.4,$44.4M,1992,Energy,Oil & Gas Production
809,DHT,"DHT Holdings, Inc.",7.39,$1.08B,2005,Transportation,Marine Transportation
2948,VG,Vonage Holdings Corp.,7.38,$1.79B,2006,Public Utilities,Telecommunications Equipment
2789,TMST,TimkenSteel Corporation,7.34,$328.98M,2014,Basic Industries,Steel/Iron Ore
1307,GUT,Gabelli Utility Trust (The),7.33,$395.74M,,,
2464,RUBI,"The Rubicon Project, Inc.",7.28,$386.36M,2014,Technology,"Computer Software: Programming, Data Processing"
1550,JMM,Nuveen Multi-Market Income Fund,7.2799,$68.88M,,,
528,CDE,"Coeur Mining, Inc.",7.22,$1.74B,,Basic Industries,Precious Metals
576,CIA,"Citizens, Inc.",7.2,$361.66M,,Finance,Life Insurance
928,EGO,Eldorado Gold Corporation,7.19,$1.14B,,Basic Industries,Precious Metals
177,APRN,"Blue Apron Holdings, Inc.",7.17,$94.44M,2017,Consumer Services,Catalog/Specialty Distribution
2898,UNFI,"United Natural Foods, Inc.",7.15,$382.58M,2019,Consumer Non-Durables,Food Distributors
2012,NNA,Navios Maritime Acquisition Corporation,7.13,$111.25M,,Transportation,Marine Transportation
1042,EXTN,Exterran Corporation,7.07,$236.81M,2015,Technology,Diversified Commercial Services
1778,MFM,MFS Municipal Income Trust,7.04,$289.96M,1986,,
2156,PACK,Ranpak Holdings Corp,7.03,$378.72M,2018,Consumer Durables,Containers/Packaging
910,EDD,"Morgan Stanley Emerging Markets Domestic Debt Fund, Inc.",7.01,$463.64M,2007,,
2436,RNGR,"Ranger Energy Services, Inc.",7,$109.49M,2017,Energy,Oilfield Services/Equipment
1410,HTY,John Hancock Tax-Advantaged Global Shareholder Yield Fund,6.98,$76.35M,,,
1981,NINE,"Nine Energy Service, Inc.",6.98,$213.38M,2018,Energy,Oilfield Services/Equipment
2374,RBS,Royal Bank Scotland plc (The),6.96,$42.09B,,Finance,Commercial Banks
1702,LPL,"LG Display Co., Ltd.",6.96,$4.98B,2004,Capital Goods,Industrial Machinery/Components
2709,TAC,TransAlta Corporation,6.94,$1.94B,,Public Utilities,Electric Utilities: Central
434,BSMX,"Banco Santander Mexico, S.A., Institucion de Ban",6.84,$9.28B,2012,Finance,Commercial Banks
1698,LOMA,Loma Negra Compania Industrial Argentina Sociedad Anonima,6.84,$815.33M,2017,Capital Goods,Building Materials
2350,PYX,"Pyxus International, Inc.",6.84,$62.69M,,Consumer Services,Farming/Seeds/Milling
2133,ONE,OneSmart International Education Group Limited,6.81,$1.09B,2018,Consumer Services,Other Consumer Services
695,CRK,"Comstock Resources, Inc.",6.75,$1.28B,,Energy,Oil & Gas Production
2922,UTI,Universal Technical Institute Inc,6.75,$173.03M,2003,Consumer Services,Other Consumer Services
376,BKD,Brookdale Senior Living Inc.,6.75,$1.25B,2005,Health Care,Hospital/Nursing Management
317,BCRH,Blue Capital Reinsurance Holdings Ltd.,6.75,$59.23M,2013,Finance,Property-Casualty Insurers
1853,MR,Montage Resources Corporation,6.73,$241M,2014,Energy,Oil & Gas Production
1440,IDT,IDT Corporation,6.72,$178.09M,,Public Utilities,Telecommunications Equipment
1357,HIX,Western Asset High Income Fund II Inc.,6.7,$570.55M,1998,,
993,ERF,Enerplus Corporation,6.69,$1.48B,,Energy,Oil & Gas Production
1492,IRS,IRSA Inversiones Y Representaciones S.A.,6.68,$388.12M,,Consumer Services,Homebuilding
326,BE,Bloom Energy Corporation,6.68,$788.29M,2018,Energy,Industrial Machinery/Components
2907,USA,Liberty All-Star Equity Fund,6.67,$1.37B,1986,,
220,ATEN,"A10 Networks, Inc.",6.65,$510.84M,2014,Technology,Computer Communications Equipment
1958,NEX,NexTier Oilfield Solutions Inc.,6.64,$1.4B,2017,Energy,Oilfield Services/Equipment
1087,FIT,"Fitbit, Inc.",6.63,$1.76B,2015,Technology,Computer Manufacturing
2764,TGS,Transportadora De Gas Sa Ord B,6.56,$1B,,Public Utilities,Natural Gas Distribution
1119,FPI,Farmland Partners Inc.,6.55,$236.14M,2014,Consumer Services,Real Estate Investment Trusts
1743,MCN,Madison Covered Call & Equity Strategy Fund,6.54,$136.99M,2004,,
3052,WOW,"WideOpenWest, Inc.",6.53,$550.35M,2017,Consumer Services,Television Services
1884,MTR,Mesa Royalty Trust,6.465,$12.05M,,Energy,Oil & Gas Production
150,AMPY,"MIDSTATES PETROLEUM COMPANY, INC.",6.46,$251.51M,2016,Energy,Oil & Gas Production
2210,PFH,CABCO Series 2004-101 Trust,6.45,,,Finance,Finance: Consumer Services
